disaster_number,state,declaration_type,declaration_date,fy_declared,incident_type,declaration_title,ih_program_declared,ia_program_declared,pa_program_declared,hm_program_declared,incident_begin_date,incident_end_date,disaster_closeout_date,designated_area,fy_century,duration_days,duration_category,response_time_days,response_time_category
1,LA,DR,1953-05-29T00:00:00Z,1953,Flood,Flood,0,1,1,1,1953-05-29 00:00:00+00:00,1953-05-29 00:00:00+00:00,1960-02-01 00:00:00+00:00,Statewide,1950s,0,1 Week or Less,2439,More than 1 year
2,MT,DR,1953-06-06T00:00:00Z,1953,Flood,Floods,0,1,1,1,1953-06-06 00:00:00+00:00,1953-06-06 00:00:00+00:00,1955-12-01 00:00:00+00:00,Statewide,1950s,0,1 Week or Less,908,More than 1 year
3,IA,DR,1953-06-11T00:00:00Z,1953,Flood,Flood,0,1,1,1,1953-06-11 00:00:00+00:00,1953-06-11 00:00:00+00:00,1955-11-01 00:00:00+00:00,Statewide,1950s,0,1 Week or Less,873,More than 1 year
4,TX,DR,1953-06-19T00:00:00Z,1953,Flood,Flood,0,1,1,1,1953-06-19 00:00:00+00:00,1953-06-19 00:00:00+00:00,1958-01-01 00:00:00+00:00,Statewide,1950s,0,1 Week or Less,1657,More than 1 year
5,FL,DR,1953-10-22T00:00:00Z,1954,Flood,Flood,0,1,1,1,1953-10-22 00:00:00+00:00,1953-10-22 00:00:00+00:00,1956-05-01 00:00:00+00:00,Statewide,1950s,0,1 Week or Less,922,More than 1 year
6,CA,DR,1954-02-05T00:00:00Z,1954,Flood,Flood & Erosion,0,1,1,1,1954-02-05 00:00:00+00:00,1954-02-05 00:00:00+00:00,1957-09-01 00:00:00+00:00,Statewide,1950s,0,1 Week or Less,1304,More than 1 year
7,IA,DR,1954-06-23T00:00:00Z,1954,Flood,Flood,0,1,1,1,1954-06-23 00:00:00+00:00,1954-06-23 00:00:00+00:00,1956-02-01 00:00:00+00:00,Statewide,1950s,0,1 Week or Less,588,More than 1 year
8,TX,DR,1954-07-01T00:00:00Z,1954,Flood,Flood,0,1,1,1,1954-07-01 00:00:00+00:00,1954-07-01 00:00:00+00:00,1959-07-01 00:00:00+00:00,Statewide,1950s,0,1 Week or Less,1826,More than 1 year
9,NV,DR,1954-07-14T00:00:00Z,1954,Earthquake,Earthquake,0,1,1,1,1954-07-14 00:00:00+00:00,1954-07-14 00:00:00+00:00,1957-08-01 00:00:00+00:00,Statewide,1950s,0,1 Week or Less,1114,More than 1 year
10,SD,DR,1954-07-31T00:00:00Z,1954,Flood,Flood,0,1,1,1,1954-07-31 00:00:00+00:00,1954-07-31 00:00:00+00:00,1956-02-01 00:00:00+00:00,Statewide,1950s,0,1 Week or Less,550,More than 1 year
